date,close,volume,open,high,low,Sector,Source,daily_return,volatility,RSI,rolling_returns_mean,rolling_returns_sd,rolling_sharpe,cumulative_return,rolling_max,rolling_drawdown,Date
2020-06-09,32.63,51480390,32.44,33.08,31.51,Banking,WFC Historical Data,-2.0708283313325304,4.691102725632982,66.73503060566405,-0.17094338914217555,3.838726343522856,-0.7069121194906703,2219267608524315e12,5302817302257975e37,-1,2020-06-09
2020-06-10,29.71,82089970,32.3,32.33,29.65,Banking,WFC Historical Data,-8.948820104198596,5.156809166613465,55.04491382210005,-0.1730690407410834,3.839239717749154,-0.7156067478597548,-17640558983234815e12,5302817302257975e37,-1,2020-06-10
2020-06-11,26.79,75621260,27.2,28.425,26.7,Banking,WFC Historical Data,-9.828340626051835,5.478286016428872,46.308886093717035,-0.1698680303625042,3.839363803279469,-0.7023484937619094,15573686353795558e13,5302817302257975e37,-1,2020-06-11
2020-06-12,27.97,51301220,28,28.23,27.35,Banking,WFC Historical Data,4.404628592758497,5.370756139536713,49.77767193290833,-0.16001424881176537,3.8404922353866167,-0.6614119482110477,841699905623763e15,5302817302257975e37,-1,2020-06-12
2020-06-15,28.21,48311410,26.86,28.385,26.56,Banking,WFC Historical Data,0.8580622095101909,5.295887991100935,50.47845432738314,-0.17441268528523282,3.8382666059565373,-0.7213452917161834,1563930786387808e15,5302817302257975e37,-1,2020-06-15
2020-06-16,28.52,52985590,29.43,29.65,27.77,Banking,WFC Historical Data,1.098901098901095,4.977564408096975,51.42135697824462,-0.1762559482965911,3.8387995731687954,-0.7288675494517156,3282536046154624e15,5302817302257975e37,-1,2020-06-16
2020-06-17,27.45,38660810,28.5,28.55,27.35,Banking,WFC Historical Data,-3.7517531556802264,4.860282152696051,48.02256353145337,-0.16432554818586065,3.846507928755947,-0.6781702405507767,-9032728923640081e15,5302817302257975e37,-1,2020-06-17
2020-06-18,27.55,33670190,27.1,27.925,26.93,Banking,WFC Historical Data,0.36429872495447047,4.846633708708163,48.366056176759756,-0.1662716156809249,3.84643609700335,-0.6862144604820429,-12323340553381528e15,5302817302257975e37,-1,2020-06-18
2020-06-19,27.6,71891220,28,28.05,27.01,Banking,WFC Historical Data,0.1814882032667997,4.843209600580735,48.549139974563566,-0.16378790568856133,3.845946606852453,-0.6760500503672118,-1455988148865963e16,5302817302257975e37,-1,2020-06-19
2020-06-22,27.35,32808330,27.27,27.625,26.89,Banking,WFC Historical Data,-0.9057971014492794,4.837820434788077,47.639567904436966,-0.16968623849436296,3.846948832475349,-0.7002135055857254,-13715830387867183e14,5302817302257975e37,-1,2020-06-22
