date,close,volume,open,high,low,Sector,Source,daily_return,volatility,RSI,rolling_returns_mean,rolling_returns_sd,rolling_sharpe,cumulative_return,rolling_max,rolling_drawdown,Date
2020-08-06,49.45,5701120,49.83,49.98,49.24,Banking,MS Historical Data,-0.6429576049829189,1.8701418811075856,49.855172876227996,0.17869648848377379,3.633942733689999,0.7806173679712946,11977625644139592e27,7589817257907283e43,-0.9999999999999999,2020-08-06
2020-08-07,50.35,6225854,49.21,50.47,49.08,Banking,MS Historical Data,1.8200202224469164,1.5791710107161399,54.07588559638465,0.18402604208807927,3.6347179229162343,0.8037275284359678,3377714653337242e28,18059245597823075e43,-0.9999999999999998,2020-08-07
2020-08-10,50.58,6518312,50.5,50.83,50.26,Banking,MS Historical Data,0.4568023833167789,1.5715132239938734,55.11562580472369,0.18177195733704085,3.634646577319206,0.7938984727268297,4920662757145702e28,1830253329279541e44,-0.9999999999999998,2020-08-10
2020-08-11,51.78,11792640,51.64,52.87,51.565,Banking,MS Historical Data,2.3724792408066575,1.6528145359898363,60.18100991141273,0.179170187546822,3.634453549769647,0.7825766687304139,16594832999484331e28,205213210033984e45,-0.9999999999999991,2020-08-11
2020-08-12,52.38,8950091,52.63,53.42,51.91,Banking,MS Historical Data,1.1587485515643037,1.6310314324406707,62.46209718878979,0.17306793553070834,3.6348376981807564,0.7558434604595263,3582407170108831e29,205213210033984e45,-0.9999999999999982,2020-08-12
2020-08-13,52.18,5728684,51.93,52.46,51.71,Banking,MS Historical Data,-0.3818251240931714,1.5322739741245823,61.20348696296519,0.1796245584442489,3.63520855702172,0.7843983147849367,22145541078297596e28,205213210033984e45,-0.9999999999999989,2020-08-13
2020-08-14,52.3,5782322,51.68,52.545,51.65,Banking,MS Historical Data,0.2299731697968488,1.5302689206280098,61.702124887856314,0.18792198550052,3.636814134013404,0.8202698645484795,27238421356940023e28,23801258642871892e43,-0.9999999999999989,2020-08-14
2020-08-17,51.28,7332966,52.2,52.3,51.09,Banking,MS Historical Data,-1.9502868068833612,1.5753980065251483,55.2069616806012,0.18706528418095777,3.6370195312801332,0.8164842942741709,-25884312455830084e28,23801258642871892e43,-1.000000000000001,2020-08-17
2020-08-18,50.92,6449980,51.17,51.37,50.65,Banking,MS Historical Data,-0.7020280811232404,1.5618229613243355,53.08306704557372,0.17815795516510122,3.636729437679701,0.7776684818577931,-7712798251269299e28,23801258642871892e43,-1.0000000000000004,2020-08-18
2020-08-19,51.37,5957612,51.19,52.03,51.14,Banking,MS Historical Data,0.8837391987431165,1.4596242544038143,55.39318943736449,0.20240321626974406,3.6254561854890723,0.8862474912030284,-14528900397913338e28,23801258642871892e43,-1.0000000000000007,2020-08-19
2020-08-20,50.8,5186346,50.73,51.07,50.495,Banking,MS Historical Data,-1.1095970410745615,1.4687310300298668,51.906794282947196,0.2195322792372404,3.6229549145402467,0.961912851769452,15923244936783207e27,23801258642871892e43,-1,2020-08-20
2020-08-21,51.1,6408525,50.59,51.42,50.5,Banking,MS Historical Data,0.5905511811023612,1.4615942284709984,53.563372665044675,0.24078708700320284,3.6065488488319217,1.059843264841641,2532673604118272e28,23801258642871892e43,-0.9999999999999998,2020-08-21
2020-08-24,52.37,7728471,51.31,52.47,51.16,Banking,MS Historical Data,2.485322896281783,1.4789597745652263,59.86582729436486,0.26615305438646797,3.6038743376984925,1.1723629515393315,8827185301241918e28,2999078654361166e44,-0.9999999999999997,2020-08-24
2020-08-25,52.05,8425547,52.81,52.89,51.85,Banking,MS Historical Data,-0.6110368531602073,1.3999154025993306,57.73939184237095,0.2654767944489708,3.60425032356182,1.1692621442727194,343344977250902e29,2999078654361166e44,-0.9999999999999999,2020-08-25
2020-08-26,51.71,5920758,51.99,52.105,51.61,Banking,MS Historical Data,-0.6532180595581139,1.40728428210946,55.484336349008586,0.27295616319627636,3.59757584183061,1.204434583270217,11906583745204307e27,2999078654361166e44,-1,2020-08-26
2020-08-27,52.61,8910127,51.76,52.865,51.68,Banking,MS Historical Data,1.7404757300328644,1.2079174846216876,59.943988701641736,0.28809852681536496,3.6009151811252664,1.2700722178065866,32629703781336206e27,962178769440005e45,-1,2020-08-27
2020-08-28,52.89,8743821,53,53,52.45,Banking,MS Historical Data,0.5322182094658734,1.2023039548774619,61.244811708039286,0.28349156357269023,3.5978904885446488,1.2508132391237812,499958263032408e29,2943421056184849e45,-1,2020-08-28
2020-08-31,52.26,8026556,52.89,52.89,52.25,Banking,MS Historical Data,-1.1911514463981865,1.2376615150590973,56.77704492499339,0.30748767372766317,3.5861732289612522,1.361120945298244,-9556774511736976e27,7570410462490985e45,-1,2020-08-31
2020-09-01,52.58,5568878,51.92,52.815,51.69,Banking,MS Historical Data,0.6123230003826974,1.2287926120897028,58.435625418773895,0.2953861602856671,3.5859507556553187,1.3076336638705228,-1540860735474465e28,7570410462490985e45,-1,2020-09-01
2020-09-02,53.25,7547103,52.61,53.47,52.465,Banking,MS Historical Data,1.2742487637885214,1.2371051257237018,61.745518223215996,0.3174566112170944,3.5649839659727123,1.4136017216636962,-35043006228230735e27,7570410462490985e45,-1,2020-09-02
2020-09-03,52.75,11029570,53.6,54.38,52.2,Banking,MS Historical Data,-0.9389671361502372,1.251246140632304,58.03156164870848,0.3255732137099003,3.562560622555152,1.4507302723219484,-21387750280139967e26,7570410462490985e45,-1,2020-09-03
2020-09-04,52.71,9413215,53.44,53.76,51.755,Banking,MS Historical Data,-0.07582938388625005,1.2033967015335711,57.73238646800221,0.36551205316506996,3.497976038106518,1.6587660692979502,-1976593035368398e27,7570410462490985e45,-1,2020-09-04
2020-09-08,50.17,10946560,52.29,52.29,50.09,Banking,MS Historical Data,-4.818819958262188,1.648404374615767,42.68413095846959,0.35534232870963134,3.4871842116185063,1.6176044195105508,7548252932826877e27,7570410462490985e45,-1,2020-09-08
2020-09-09,51.06,8808475,50.59,51.63,50.43,Banking,MS Historical Data,1.7739685070759403,1.607463185070088,47.816746909064136,0.3825280038285373,3.4588785072632535,1.7556106099529645,20938615919105363e27,7570410462490985e45,-1,2020-09-09
2020-09-10,50.29,8609094,51.33,51.59,50.17,Banking,MS Historical Data,-1.5080297688993438,1.6118588998571413,44.13438578914545,0.44756498858344995,3.318202170294551,2.141181750645694,-10637440206455219e27,7570410462490985e45,-1,2020-09-10
2020-09-11,50.35,8969704,50.36,50.945,50.055,Banking,MS Historical Data,0.1193080135215796,1.612629619141481,44.49309175191688,0.36685401044599303,3.085540653040175,1.8873926904520704,-11906572066441972e27,7570410462490985e45,-1,2020-09-11
2020-09-14,51.15,8812184,50.96,51.565,50.3,Banking,MS Historical Data,1.5888778550148919,1.6581688051964054,49.178672662669626,0.4225125342895873,2.918348921319309,2.298278488987277,-30824660751950524e27,7570410462490985e45,-1,2020-09-14
2020-09-15,50.39,7660121,51.16,51.335,50.27,Banking,MS Historical Data,-1.4858260019550262,1.633935582383588,45.26912267390425,0.40202749945562827,2.8916720639657596,2.2070236739984823,14975421694740136e27,7570410462490985e45,-1,2020-09-15
2020-09-16,51.15,8699746,50.48,51.91,50.31,Banking,MS Historical Data,1.508235761063692,1.6637454415106723,49.58523188320181,0.43810742679444786,2.8299991272669,2.457505985059394,37561888231756247e27,7570410462490985e45,-1,2020-09-16
2020-09-17,50.25,7533674,50.39,50.925,49.98,Banking,MS Historical Data,-1.7595307917888547,1.6974905112303766,45.0540883268264,0.43118610668775137,2.8318496484839026,2.417101220806793,-28529410709750287e27,7570410462490985e45,-1,2020-09-17
2020-09-18,50.08,10743890,50.37,50.94,50.05,Banking,MS Historical Data,-0.3383084577114448,1.6819489999237298,44.231879820598635,0.44234835326285427,2.8196623218215953,2.4903912639504546,-1887766977311829e28,7570410462490985e45,-1,2020-09-18
2020-09-21,48.36,12909930,48.86,49.0899,47.51,Banking,MS Historical Data,-3.4345047923322714,1.8342092144957685,36.895449824981135,0.45366180482628216,2.79826536423498,2.57361506218809,4595777753072255e28,7570410462490985e45,-1,2020-09-21
2020-09-22,47.63,11164790,48.24,48.59,46.925,Banking,MS Historical Data,-1.5095119933829504,1.7344282353139473,34.29549638542653,0.3775188905375231,2.5271321406294267,2.371433808781825,-23416038841128613e27,7570410462490985e45,-1,2020-09-22
2020-09-23,46.42,8248128,47.86,48.235,46.39,Banking,MS Historical Data,-2.5404157043879882,1.795910343019461,30.463541833035375,0.37232271965780883,2.5244713629254165,2.3412584626008726,3607043396543362e28,7570410462490985e45,-1,2020-09-23
2020-09-24,46.61,9832684,46.54,47.42,45.86,Banking,MS Historical Data,0.40930633347695533,1.80853023915819,31.753036364006633,0.35149927654970453,2.507231309662042,2.225513860294743,5083429103874789e28,7570410462490985e45,-1,2020-09-24
2020-09-25,47.04,9815974,46.28,47.33,45.915,Banking,MS Historical Data,0.9225488092683864,1.7638457453472032,34.70418981002779,0.35997116089275494,2.493457992518555,2.2917430501778027,9773140570654736e28,7570410462490985e45,-1,2020-09-25
2020-09-28,48.38,9466192,47.89,49.14,47.805,Banking,MS Historical Data,2.848639455782309,1.9083016105127548,42.97910436490123,0.3564521673521326,2.4911347966731925,2.271455861071434,37613294407128655e28,7570410462490985e45,-1,2020-09-28
2020-09-29,47.24,11360590,48.07,48.26,47.19,Banking,MS Historical Data,-2.3563455973542813,1.9501801283169917,38.50800834574347,0.35884484614030265,2.488754535509776,2.2888899855686415,-5101662627109936e29,7570410462490985e45,-1,2020-09-29
2020-09-30,48.35,15047270,47.67,48.99,47.54,Banking,MS Historical Data,2.3497036409822147,2.0383539593848226,44.55603538498969,0.38948409986737503,2.444940088100846,2.52884250099567,-17089057877093043e29,7570410462490985e45,-1.0000000000000002,2020-09-30
2020-10-01,47.26,25275380,48.75,49.07,46.9,Banking,MS Historical Data,-2.254395036194423,2.0386540977177185,40.35828972915275,0.35975440075530335,2.4069205704659486,2.372709816365913,2143642937426472e30,7570410462490985e45,-0.9999999999999997,2020-10-01
2020-10-02,47.97,12681790,46.49,48.34,46.42,Banking,MS Historical Data,1.5023275497249244,2.088198624712704,44.05557474987003,0.3658850694965916,2.40759086465457,2.41247194412774,5364096779095523e30,7570410462490985e45,-0.9999999999999992,2020-10-02
2020-10-05,48.6,19140150,48.43,48.89,47.78,Banking,MS Historical Data,1.3133208255159623,2.124194544989232,47.1842683043365,0.3285893475761139,2.3399382699198155,2.229201620385874,1240887678916477e31,7570410462490985e45,-0.9999999999999983,2020-10-05
2020-10-06,47.74,22980200,49.2,49.41,47.47,Banking,MS Historical Data,-1.7695473251028826,1.8850637349533774,43.59973480177132,0.335163749984146,2.3408051234675527,2.272961355180931,-9.5492179406329955e+45,7570410462490985e45,-1.0000000000000013,2020-10-06
2020-10-07,48.71,12019110,48.38,49.17,48.24,Banking,MS Historical Data,2.031839128613311,1.9003193964954483,48.36450269439252,0.31163257568546704,2.30736233238727,2.144012539644444,-28951692600067337e30,7570410462490985e45,-1.0000000000000038,2020-10-07
2020-10-08,49,23836620,47.98,49.49,47.26,Banking,MS Historical Data,0.5953602956271897,1.883302160478105,49.73180590574849,0.29174214761351647,2.2940342137535037,2.0188290956959536,-4618838086535095e31,7570410462490985e45,-1.000000000000006,2020-10-08
2020-10-09,48.83,11381800,49.44,49.73,48.73,Banking,MS Historical Data,-0.34693877551020824,1.8831616053597846,48.914120353251256,0.3030149091222975,2.281526080756162,2.1083311731857908,-3016384056512696e31,7570410462490985e45,-1.000000000000004,2020-10-09
2020-10-12,50.74,17615010,49.27,51.01,49.03,Banking,MS Historical Data,3.911529797255797,2.058594472691298,57.39078100815672,0.3064945909256224,2.282813656562442,2.131339446243119,-14815060173529419e31,7570410462490985e45,-1.0000000000000195,2020-10-12
2020-10-13,50.44,17448030,51.12,51.24,49.985,Banking,MS Historical Data,-0.5912495072920909,2.034651197696107,55.82396790517881,0.32117694480705566,2.269039461931165,2.246997472887757,-6055663145427471e31,7570410462490985e45,-1.000000000000008,2020-10-13
2020-10-14,50.65,20377840,50.91,51.39,50.38,Banking,MS Historical Data,0.41633624107850764,2.00721044131393,56.71480272623329,0.3106410267567538,2.2771719220005644,2.165525305854166,-8576855176632397e31,1343554584233674e46,-1.0000000000000064,2020-10-14
2020-10-15,51.33,21059660,49.93,51.87,49.92,Banking,MS Historical Data,1.3425468904244786,1.9862738768606314,59.55867542837026,0.3103603529539556,2.2769792209664574,2.1637517896589364,-20091685423641313e31,3805341836169649e46,-1.0000000000000053,2020-10-15
2020-10-16,51.85,16923300,51.53,52.27,51.43,Banking,MS Historical Data,1.0130527956360824,1.9926544792235001,61.63450036181374,0.3041848338424299,2.2850056294459216,2.1132484206782225,-4044562351110187e32,3805341836169649e46,-1.0000000000000107,2020-10-16
2020-10-19,50.95,12677010,52.19,52.19,50.785,Banking,MS Historical Data,-1.7357762777241992,1.8618179464938491,56.25264355618275,0.32883407033984957,2.275385240586876,2.2941517520786037,2975893031723289e32,3805341836169649e46,-0.9999999999999922,2020-10-19
2020-10-20,51.47,11177610,51.56,52.265,51.37,Banking,MS Historical Data,1.0206084396467086,1.8194719905108205,58.50702967496873,0.31479110994172427,2.273920937356271,2.197593535001533,6013114575385908e32,6892732091084688e46,-0.9999999999999912,2020-10-20
2020-10-21,50.38,18583170,51.49,51.81,50.26,Banking,MS Historical Data,-2.1177384884398576,1.7856096243907043,52.41024930659983,0.331842130675031,2.28088066043842,2.3095599016508936,-6721089596307521e32,30311645569543243e46,-1.0000000000000022,2020-10-21
2020-10-22,51.77,13266860,50.42,51.98,50.12,Banking,MS Historical Data,2.759031361651454,1.8602464944808224,58.368125227218464,0.32934108902024506,2.280122373481956,2.2929154019012983,-2526478657698928e33,5165523787916562e47,-1.0000000000000049,2020-10-22
2020-10-23,51.87,11538510,52.25,52.61,51.54,Banking,MS Historical Data,0.19316206297081973,1.8595581972538855,58.76805316978384,0.31747856094611654,2.27116763287283,2.219041800438832,-30144984872718e35,7953588639098166e47,-1.0000000000000038,2020-10-23
2020-10-26,50.32,15561380,51.15,51.28,49.8,Banking,MS Historical Data,-2.9882398303450852,1.9293121595824925,50.64678189700534,0.3129289556449114,2.268757905491406,2.189565116657795,59935459609088e35,15425847365435004e47,-0.9999999999999961,2020-10-26
2020-10-27,48.59,11593350,50.25,50.28,48.58,Banking,MS Historical Data,-3.4379968203497535,2.0182782857189494,43.43244983095356,0.3107674828901183,2.2677433395421662,2.175414106938847,-14612245995315764e33,3239372008699401e48,-1.0000000000000044,2020-10-27
2020-10-28,47.57,13622840,47.56,48.11,47.19,Banking,MS Historical Data,-2.0991973657131124,2.009426710800612,39.83003506764578,0.31882679367812344,2.2583274252397585,2.2411358015196394,16061742305203064e33,3239372008699401e48,-0.999999999999995,2020-10-28
2020-10-29,48.12,10887780,47.05,48.43,46.55,Banking,MS Historical Data,1.1561908766029028,1.9576378955448674,42.59491910691466,0.32876012447709674,2.250876646101894,2.318610036318253,3463218222082572e34,3239372008699401e48,-0.9999999999999892,2020-10-29
2020-10-30,48.15,14909310,47.96,48.26,47.01,Banking,MS Historical Data,0.06234413965087171,1.929958760639074,42.74945168930012,0.3328298836885534,2.2497412700301016,2.348496992595108,36791295825615317e33,3239372008699401e48,-0.9999999999999886,2020-10-30
2020-11-02,49.38,16337830,48.875,49.84,48.44,Banking,MS Historical Data,2.554517133956402,1.992133938948864,48.83138846881842,0.34295534569998665,2.252672535737826,2.416794827815896,1307752913926083e35,3239372008699401e48,-0.9999999999999596,2020-11-02
2020-11-03,51.18,13142230,50.41,51.455,50.41,Banking,MS Historical Data,3.645200486026723,2.090416141973297,56.169593277583445,0.3609539697414749,2.2536786849510038,2.5424949307666846,6074774471372304e35,3239372008699401e48,-0.9999999999998124,2020-11-03
2020-11-04,51.43,17377960,50.53,52.32,50.51,Banking,MS Historical Data,0.4884720593981928,2.053979463031244,57.09003551256254,0.34886547956693387,2.2419611379747333,2.4701890259789008,9042132067783102e35,3239372008699401e48,-0.9999999999997209,2020-11-04
2020-11-05,52.2,9444282,52,52.775,51.58,Banking,MS Historical Data,1.4971806338712979,2.070818047537401,59.88431985580112,0.33031444370044977,2.2370099895189686,2.344012436006939,22579837088574595e35,10498200874291316e48,-0.999999999999785,2020-11-05
2020-11-06,51.7,6453859,52.58,52.62,51.5118,Banking,MS Historical Data,-0.9578544061302652,2.0858907044607555,57.276067564962545,0.32567644089938264,2.2402052744777463,2.307803343673319,9516406435798403e34,10498200874291316e48,-0.9999999999999909,2020-11-06
